i 264  prescaler: 3  frequenzy 60606 
i 265  prescaler: 3  frequenzy 60377 
i 266  prescaler: 3  frequenzy 60150 
i 267  prescaler: 3  frequenzy 59925 
i 268  prescaler: 3  frequenzy 59701 
i 269  prescaler: 3  frequenzy 59479 
i 270  prescaler: 3  frequenzy 59259 
i 271  prescaler: 3  frequenzy 59040 
i 272  prescaler: 3  frequenzy 58823 
i 273  prescaler: 3  frequenzy 58608 
i 274  prescaler: 3  frequenzy 58394 
i 275  prescaler: 3  frequenzy 58181 
i 276  prescaler: 3  frequenzy 57971 
i 277  prescaler: 3  frequenzy 57761 
i 278  prescaler: 3  frequenzy 57553 
i 279  prescaler: 3  frequenzy 57347 
i 280  prescaler: 3  frequenzy 57142 
i 281  prescaler: 3  frequenzy 56939 
i 282  prescaler: 3  frequenzy 56737 
i 283  prescaler: 3  frequenzy 56537 
i 284  prescaler: 3  frequenzy 56338 
i 285  prescaler: 3  frequenzy 56140 
i 286  prescaler: 3  frequenzy 55944 
i 287  prescaler: 3  frequenzy 55749 
i 288  prescaler: 3  frequenzy 55555 
i 289  prescaler: 3  frequenzy 55363 
i 290  prescaler: 3  frequenzy 55172 
i 291  prescaler: 3  frequenzy 54982 
i 292  prescaler: 3  frequenzy 54794 
i 293  prescaler: 3  frequenzy 54607 
i 294  prescaler: 3  frequenzy 54421 
i 295  prescaler: 3  frequenzy 54237 
i 296  prescaler: 3  frequenzy 54054 
i 297  prescaler: 3  frequenzy 53872 
i 298  prescaler: 3  frequenzy 53691 
i 299  prescaler: 3  frequenzy 53511 
i 300  prescaler: 3  frequenzy 53333 
i 301  prescaler: 3  frequenzy 53156 
i 302  prescaler: 3  frequenzy 52980 
i 303  prescaler: 3  frequenzy 52805 
i 304  prescaler: 3  frequenzy 52631 
i 305  prescaler: 3  frequenzy 52459 
i 306  prescaler: 3  frequenzy 52287 
i 307  prescaler: 3  frequenzy 52117 
i 308  prescaler: 3  frequenzy 51948 
i 309  prescaler: 3  frequenzy 51779 
i 310  prescaler: 3  frequenzy 51612 
i 311  prescaler: 3  frequenzy 51446 
i 312  prescaler: 3  frequenzy 51282 
i 313  prescaler: 3  frequenzy 51118 
i 314  prescaler: 3  frequenzy 50955 
i 315  prescaler: 3  frequenzy 50793 
i 316  prescaler: 3  frequenzy 50632 
i 317  prescaler: 3  frequenzy 50473 
i 318  prescaler: 3  frequenzy 50314 
i 319  prescaler: 3  frequenzy 50156 
i 320  prescaler: 3  frequenzy 50000 
i 321  prescaler: 3  frequenzy 49844 
i 322  prescaler: 3  frequenzy 49689 
i 323  prescaler: 3  frequenzy 49535 
i 324  prescaler: 3  frequenzy 49382 
i 325  prescaler: 3  frequenzy 49230 
i 326  prescaler: 3  frequenzy 49079 
i 327  prescaler: 3  frequenzy 48929 
i 328  prescaler: 3  frequenzy 48780 
i 329  prescaler: 3  frequenzy 48632 
i 330  prescaler: 3  frequenzy 48484 
i 331  prescaler: 3  frequenzy 48338 
i 332  prescaler: 3  frequenzy 48192 
i 333  prescaler: 3  frequenzy 48048 
i 334  prescaler: 3  frequenzy 47904 
i 335  prescaler: 3  frequenzy 47761 
i 336  prescaler: 3  frequenzy 47619 
i 337  prescaler: 3  frequenzy 47477 
i 338  prescaler: 3  frequenzy 47337 
i 339  prescaler: 3  frequenzy 47197 
i 340  prescaler: 3  frequenzy 47058 
i 341  prescaler: 3  frequenzy 46920 
i 342  prescaler: 3  frequenzy 46783 
i 343  prescaler: 3  frequenzy 46647 
i 344  prescaler: 3  frequenzy 46511 
i 345  prescaler: 3  frequenzy 46376 
i 346  prescaler: 3  frequenzy 46242 
i 347  prescaler: 3  frequenzy 46109 
i 348  prescaler: 3  frequenzy 45977 
i 349  prescaler: 3  frequenzy 45845 
i 350  prescaler: 3  frequenzy 45714 
i 351  prescaler: 3  frequenzy 45584 
i 352  prescaler: 3  frequenzy 45454 
i 353  prescaler: 3  frequenzy 45325 
i 354  prescaler: 3  frequenzy 45197 
i 355  prescaler: 3  frequenzy 45070 
i 356  prescaler: 3  frequenzy 44943 
i 357  prescaler: 3  frequenzy 44817 
i 358  prescaler: 3  frequenzy 44692 
i 359  prescaler: 3  frequenzy 44568 
i 360  prescaler: 3  frequenzy 44444 
i 361  prescaler: 3  frequenzy 44321 
i 362  prescaler: 3  frequenzy 44198 
i 363  prescaler: 3  frequenzy 44077 
i 364  prescaler: 3  frequenzy 43956 
i 365  prescaler: 3  frequenzy 43835 
i 366  prescaler: 3  frequenzy 43715 
i 367  prescaler: 2  frequenzy 65395 
i 368  prescaler: 2  frequenzy 65217 
i 369  prescaler: 2  frequenzy 65040 
i 370  prescaler: 2  frequenzy 64864 
i 371  prescaler: 2  frequenzy 64690 
i 372  prescaler: 2  frequenzy 64516 
i 373  prescaler: 2  frequenzy 64343 
i 374  prescaler: 2  frequenzy 64171 
i 375  prescaler: 2  frequenzy 64000 
i 376  prescaler: 2  frequenzy 63829 
i 377  prescaler: 2  frequenzy 63660 
i 378  prescaler: 2  frequenzy 63492 
i 379  prescaler: 2  frequenzy 63324 
i 380  prescaler: 2  frequenzy 63157 
i 381  prescaler: 2  frequenzy 62992 
i 382  prescaler: 2  frequenzy 62827 
i 383  prescaler: 2  frequenzy 62663 
i 384  prescaler: 2  frequenzy 62500 
i 385  prescaler: 2  frequenzy 62337 
i 386  prescaler: 2  frequenzy 62176 
i 387  prescaler: 2  frequenzy 62015 
i 388  prescaler: 2  frequenzy 61855 
i 389  prescaler: 2  frequenzy 61696 
i 390  prescaler: 2  frequenzy 61538 
i 391  prescaler: 2  frequenzy 61381 
i 392  prescaler: 2  frequenzy 61224 
i 393  prescaler: 2  frequenzy 61068 
i 394  prescaler: 2  frequenzy 60913 
i 395  prescaler: 2  frequenzy 60759 
i 396  prescaler: 2  frequenzy 60606 
i 397  prescaler: 2  frequenzy 60453 
i 398  prescaler: 2  frequenzy 60301 
i 399  prescaler: 2  frequenzy 60150 
i 400  prescaler: 2  frequenzy 60000 
i 401  prescaler: 2  frequenzy 59850 
i 402  prescaler: 2  frequenzy 59701 
i 403  prescaler: 2  frequenzy 59553 
i 404  prescaler: 2  frequenzy 59405 
i 405  prescaler: 2  frequenzy 59259 
i 406  prescaler: 2  frequenzy 59113 
i 407  prescaler: 2  frequenzy 58968 
i 408  prescaler: 2  frequenzy 58823 
i 409  prescaler: 2  frequenzy 58679 
i 410  prescaler: 2  frequenzy 58536 
i 411  prescaler: 2  frequenzy 58394 
i 412  prescaler: 2  frequenzy 58252 
i 413  prescaler: 2  frequenzy 58111 
i 414  prescaler: 2  frequenzy 57971 
i 415  prescaler: 2  frequenzy 57831 
i 416  prescaler: 2  frequenzy 57692 
i 417  prescaler: 2  frequenzy 57553 
i 418  prescaler: 2  frequenzy 57416 
i 419  prescaler: 2  frequenzy 57279 
i 420  prescaler: 2  frequenzy 57142 
i 421  prescaler: 2  frequenzy 57007 
i 422  prescaler: 2  frequenzy 56872 
i 423  prescaler: 2  frequenzy 56737 
i 424  prescaler: 2  frequenzy 56603 
i 425  prescaler: 2  frequenzy 56470 
i 426  prescaler: 2  frequenzy 56338 
i 427  prescaler: 2  frequenzy 56206 
i 428  prescaler: 2  frequenzy 56074 
i 429  prescaler: 2  frequenzy 55944 
i 430  prescaler: 2  frequenzy 55813 
i 431  prescaler: 2  frequenzy 55684 
i 432  prescaler: 2  frequenzy 55555 
i 433  prescaler: 2  frequenzy 55427 
i 434  prescaler: 2  frequenzy 55299 
i 435  prescaler: 2  frequenzy 55172 
i 436  prescaler: 2  frequenzy 55045 
i 437  prescaler: 2  frequenzy 54919 
i 438  prescaler: 2  frequenzy 54794 
i 439  prescaler: 2  frequenzy 54669 
i 440  prescaler: 2  frequenzy 54545 
i 441  prescaler: 2  frequenzy 54421 
i 442  prescaler: 2  frequenzy 54298 
i 443  prescaler: 2  frequenzy 54176 
i 444  prescaler: 2  frequenzy 54054 
i 445  prescaler: 2  frequenzy 53932 
i 446  prescaler: 2  frequenzy 53811 
i 447  prescaler: 2  frequenzy 53691 
i 448  prescaler: 2  frequenzy 53571 
i 449  prescaler: 2  frequenzy 53452 
i 450  prescaler: 2  frequenzy 53333 
i 451  prescaler: 2  frequenzy 53215 
i 452  prescaler: 2  frequenzy 53097 
i 453  prescaler: 2  frequenzy 52980 
i 454  prescaler: 2  frequenzy 52863 
i 455  prescaler: 2  frequenzy 52747 
i 456  prescaler: 2  frequenzy 52631 
i 457  prescaler: 2  frequenzy 52516 
i 458  prescaler: 2  frequenzy 52401 
i 459  prescaler: 2  frequenzy 52287 
i 460  prescaler: 2  frequenzy 52173 
i 461  prescaler: 2  frequenzy 52060 
i 462  prescaler: 2  frequenzy 51948 
i 463  prescaler: 2  frequenzy 51835 
i 464  prescaler: 2  frequenzy 51724 
i 465  prescaler: 2  frequenzy 51612 
i 466  prescaler: 2  frequenzy 51502 
i 467  prescaler: 2  frequenzy 51391 
i 468  prescaler: 2  frequenzy 51282 
i 469  prescaler: 2  frequenzy 51172 
i 470  prescaler: 2  frequenzy 51063 
i 471  prescaler: 2  frequenzy 50955 
i 472  prescaler: 2  frequenzy 50847 
i 473  prescaler: 2  frequenzy 50739 
i 474  prescaler: 2  frequenzy 50632 
i 475  prescaler: 2  frequenzy 50526 
i 476  prescaler: 2  frequenzy 50420 
i 477  prescaler: 2  frequenzy 50314 
i 478  prescaler: 2  frequenzy 50209 
i 479  prescaler: 2  frequenzy 50104 
i 480  prescaler: 2  frequenzy 50000 
i 481  prescaler: 2  frequenzy 49896 
i 482  prescaler: 2  frequenzy 49792 
i 483  prescaler: 2  frequenzy 49689 
i 484  prescaler: 2  frequenzy 49586 
i 485  prescaler: 2  frequenzy 49484 
i 486  prescaler: 2  frequenzy 49382 
i 487  prescaler: 2  frequenzy 49281 
i 488  prescaler: 2  frequenzy 49180 
i 489  prescaler: 2  frequenzy 49079 
i 490  prescaler: 2  frequenzy 48979 
i 491  prescaler: 2  frequenzy 48879 
i 492  prescaler: 2  frequenzy 48780 
i 493  prescaler: 2  frequenzy 48681 
i 494  prescaler: 2  frequenzy 48582 
i 495  prescaler: 2  frequenzy 48484 
i 496  prescaler: 2  frequenzy 48387 
i 497  prescaler: 2  frequenzy 48289 
i 498  prescaler: 2  frequenzy 48192 
i 499  prescaler: 2  frequenzy 48096 
i 500  prescaler: 2  frequenzy 48000 
i 501  prescaler: 2  frequenzy 47904 
i 502  prescaler: 2  frequenzy 47808 
i 503  prescaler: 2  frequenzy 47713 
i 504  prescaler: 2  frequenzy 47619 
i 505  prescaler: 2  frequenzy 47524 
i 506  prescaler: 2  frequenzy 47430 
i 507  prescaler: 2  frequenzy 47337 
i 508  prescaler: 2  frequenzy 47244 
i 509  prescaler: 2  frequenzy 47151 
i 510  prescaler: 2  frequenzy 47058 
i 511  prescaler: 2  frequenzy 46966 
i 512  prescaler: 2  frequenzy 46875 
i 513  prescaler: 2  frequenzy 46783 
i 514  prescaler: 2  frequenzy 46692 
i 515  prescaler: 2  frequenzy 46601 
i 516  prescaler: 2  frequenzy 46511 
i 517  prescaler: 2  frequenzy 46421 
i 518  prescaler: 2  frequenzy 46332 
i 519  prescaler: 2  frequenzy 46242 
i 520  prescaler: 2  frequenzy 46153 
i 521  prescaler: 2  frequenzy 46065 
i 522  prescaler: 2  frequenzy 45977 
i 523  prescaler: 2  frequenzy 45889 
i 524  prescaler: 2  frequenzy 45801 
i 525  prescaler: 2  frequenzy 45714 
i 526  prescaler: 2  frequenzy 45627 
i 527  prescaler: 2  frequenzy 45540 
i 528  prescaler: 2  frequenzy 45454 
i 529  prescaler: 2  frequenzy 45368 
i 530  prescaler: 2  frequenzy 45283 
i 531  prescaler: 2  frequenzy 45197 
i 532  prescaler: 2  frequenzy 45112 
i 533  prescaler: 2  frequenzy 45028 
i 534  prescaler: 2  frequenzy 44943 
i 535  prescaler: 2  frequenzy 44859 
i 536  prescaler: 2  frequenzy 44776 
i 537  prescaler: 2  frequenzy 44692 
i 538  prescaler: 2  frequenzy 44609 
i 539  prescaler: 2  frequenzy 44526 
i 540  prescaler: 2  frequenzy 44444 
i 541  prescaler: 2  frequenzy 44362 
i 542  prescaler: 2  frequenzy 44280 
i 543  prescaler: 2  frequenzy 44198 
i 544  prescaler: 2  frequenzy 44117 
i 545  prescaler: 2  frequenzy 44036 
i 546  prescaler: 2  frequenzy 43956 
i 547  prescaler: 2  frequenzy 43875 
i 548  prescaler: 2  frequenzy 43795 
i 549  prescaler: 2  frequenzy 43715 
i 550  prescaler: 2  frequenzy 43636 
i 551  prescaler: 2  frequenzy 43557 
i 552  prescaler: 2  frequenzy 43478 
i 553  prescaler: 2  frequenzy 43399 
i 554  prescaler: 2  frequenzy 43321 
i 555  prescaler: 2  frequenzy 43243 
i 556  prescaler: 2  frequenzy 43165 
i 557  prescaler: 2  frequenzy 43087 
i 558  prescaler: 2  frequenzy 43010 
i 559  prescaler: 2  frequenzy 42933 
i 560  prescaler: 2  frequenzy 42857 
i 561  prescaler: 2  frequenzy 42780 
i 562  prescaler: 2  frequenzy 42704 
i 563  prescaler: 2  frequenzy 42628 
i 564  prescaler: 2  frequenzy 42553 
i 565  prescaler: 2  frequenzy 42477 
i 566  prescaler: 2  frequenzy 42402 
i 567  prescaler: 2  frequenzy 42328 
i 568  prescaler: 2  frequenzy 42253 
i 569  prescaler: 2  frequenzy 42179 
i 570  prescaler: 2  frequenzy 42105 
i 571  prescaler: 2  frequenzy 42031 
i 572  prescaler: 2  frequenzy 41958 
i 573  prescaler: 2  frequenzy 41884 
i 574  prescaler: 2  frequenzy 41811 
i 575  prescaler: 2  frequenzy 41739 
i 576  prescaler: 2  frequenzy 41666 
